id,name,price,stock,department,category,subCategory,fragile,microwave,hsn,gst,description
201,"La Coppera Ayurship Bottle Camel Mirage LH-2019-T2-01",1700,19,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
202,"La Coppera Ayurship Noor - e - Gul Set LG-8054",2800,19,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
203,"La Coppera Luna Carafe Rustic LH-2015-R1-01",999,36,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
204,"La Coppera Ayurship Jaali Set LG-8053",2800,43,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
205,"La Coppera Bronze Thali Set (6Piece) LH-6001-K1",999,36,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
206,"La Coppera Olea Can 700ml LH-1015-D1",1775,38,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
207,"La Coppera Brass Sundara Ghee Pot 400ml LH-1017-P1",1075,19,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
208,"La Coppera Infusio Tea Strainer Brass LH-1016-D1",999,19,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
209,"La Coppera Brass Flower Bowl w/ Spoon Set of 4 LG-8049",999,41,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
210,"La Coppera Jalbindu Carafe Set LG-8056",3175,28,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
211,"La Coppera Brass Mor Dabba Round 600ml LH-1005-E1",1350,48,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
212,"La Coppera Brass Mor Dabba Round 1400ml LH-1005-E2",2125,15,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
213,"La Coppera Brass Mor Dabba Round 2600ml LH-1005-E3",2825,39,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
214,"La Coppera Brass Mor Dabba Square 1250ml LH-1003-E1",1900,12,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
215,"La Coppera Brass Mor Dabba Square 2000ml LH-1003-E2",2275,16,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
216,"La Coppera Brass Mughlai Handi 2000ml LH-1010-H1",4450,31,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
217,"La Coppera Brass Mughlai Handi 4000ml LH-1010-H2",5675,10,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
218,"La Coppera Copper Mughlai Handi 2000ml LH-1011-H1",999,26,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
219,"La Coppera Copper Mughlai Handi 4000ml LH-1011-H2",999,46,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
220,"La Coppera Sanjeevani Matka 7000 ml LH-5008-H3",999,29,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
221,"La Coppera Brass Masala Box Dome LH-1020-D1",999,16,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
222,"La Coppera Brass Masala Box Lotus Harmony 5 inch LH-1021-E1",999,47,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
223,"La Coppera Brass Masala Box Mandala Radiance 7 inch LH-1021-E2",999,10,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
224,"La Coppera Brass Masala Box Lotus Harmony 8 inch LH-1021-E3",999,24,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
225,"La Coppera Brass Masala Box Mandala Radiance 9 inch LH-1021-E4",999,46,"Crockery & Dining","Serveware","",true,false,"74181010",5,""
301,"Mashakh Woodcraft Akhand Dutta Natural - Acacia",295,33,"Woodcraft","Serveware","",false,false,"69111011",5,""
302,"Mashakh Woodcraft Ash Tray Big 10x10x3.5cm  (000010339)",399,16,"Woodcraft","Serveware","",false,false,"69111011",5,""
303,"Mashakh Woodcraft Belan Natural - Acacia",289,32,"Woodcraft","Serveware","",false,false,"69111011",5,""
304,"Mashakh Woodcraft Belly Belan Natural - Acacia",389,34,"Woodcraft","Serveware","",false,false,"69111011",5,""
305,"Mashakh Woodcraft Casserole Big 1500 ml - PU Insulated",2950,45,"Woodcraft","Serveware","",false,false,"69111011",5,""
306,"Mashakh Woodcraft Cutting Board Rectangle 31x21x1.25 - Acacia",999,27,"Woodcraft","Serveware","",false,false,"69111011",5,""
307,"Mashakh Woodcraft Cutting Board Rectangle 36x25x1.25cm - Acacia",999,34,"Woodcraft","Serveware","",false,false,"69111011",5,""
308,"Mashakh Woodcraft French Round Board 10 inch  (000010377)  Pizza Bat",810,10,"Woodcraft","Serveware","",false,false,"69111011",5,""
309,"Mashakh Woodcraft French Round Board 12 inch  (000010376)  Pizza Bat",920,17,"Woodcraft","Serveware","",false,false,"69111011",5,""
310,"Mashakh Woodcraft Ice Bucket - PU Insulated",2950,43,"Woodcraft","Serveware","",false,false,"69111011",5,""
311,"Mashakh Woodcraft Ice Tong Natural - Acacia",299,39,"Woodcraft","Serveware","",false,false,"69111011",5,""
312,"Mashakh Woodcraft Jack Stand Walnut Brown",999,41,"Woodcraft","Serveware","",false,false,"69111011",5,""
313,"Mashakh Woodcraft Kaden Dinner Plate Acacia  (000010590)",1350,40,"Woodcraft","Serveware","",false,false,"69111011",5,""
314,"Mashakh Woodcraft Kaden Quarter Plate Acacia  (000010591)",990,16,"Woodcraft","Serveware","",false,false,"69111011",5,""
315,"Mashakh Woodcraft Niche Rectangle Platter 30x15.5cm",999,20,"Woodcraft","Serveware","",false,false,"69111011",5,""
316,"Mashakh Woodcraft Reserved Sign Prism Natural  (000010559)",325,42,"Woodcraft","Serveware","",false,false,"69111011",5,""
317,"Mashakh Woodcraft Rubberwood Napkin Holder Hexa",325,24,"Woodcraft","Serveware","",false,false,"69111011",5,""
318,"Mashakh Woodcraft Rubberwood Napkin Holder Round",325,37,"Woodcraft","Serveware","",false,false,"69111011",5,""
319,"Mashakh Woodcraft Serving Bowl 110x65mm - 280 ml Acacia",999,40,"Woodcraft","Serveware","",false,false,"69111011",5,""
320,"Mashakh Woodcraft Serving Bowl 144x69mm - 600 ml Acacia (000010567)",999,24,"Woodcraft","Serveware","",false,false,"69111011",5,""
321,"Mashakh Woodcraft Serving Bowl 195x70mm - 1250ml Acacia (000010566)",999,17,"Woodcraft","Serveware","",false,false,"69111011",5,""
322,"Mashakh Woodcraft Tavetha Natural - Acacia",189,16,"Woodcraft","Serveware","",false,false,"69111011",5,""
323,"Mashakh Woodcraft Teakwood Spice Box 4 SP Comp",1190,15,"Woodcraft","Serveware","",false,false,"69111011",5,""
324,"Mashakh Woodcraft Teakwood Spice Box 6 SP Comp",1450,27,"Woodcraft","Serveware","",false,false,"69111011",5,""
325,"Mashakh Woodcraft Teakwood Spice Box 9 SP Comp",1980,48,"Woodcraft","Serveware","",false,false,"69111011",5,""
326,"Shri Woodcraft Teak Tea Cup with Handle S06",2049,13,"Woodcraft","Serveware","",false,false,"69111011",5,""
327,"Shri Woodcraft Teakwood Beer Mug Groove S02 SW/TBMG-46",2085,14,"Woodcraft","Serveware","",false,false,"69111011",5,""
328,"Shri Woodcraft Teakwood Beer Mug S02 Ring SW/TBMR-47",1825,44,"Woodcraft","Serveware","",false,false,"69111011",5,""
329,"Shri Woodcraft Teakwood Champagne Glass S02 SW/TCG-65",1720,21,"Woodcraft","Serveware","",false,false,"69111011",5,""
330,"Shri Woodcraft Teak Wood Coffee Mug 400ml S02 SW/TM400/49",1660,46,"Woodcraft","Serveware","",false,false,"69111011",5,""
331,"Shri Woodcraft Teakwood -Copper Bottle 500ml SW/TM-16",2399,18,"Woodcraft","Serveware","",false,false,"69111011",5,""
332,"Shri Woodcraft Teakwood -Copper Bottle 600ml SW/TIP-13",2499,30,"Woodcraft","Serveware","",false,false,"69111011",5,""
333,"Shri Woodcraft Teakwood -Copper Bottle 950ml SW/TM-54",2999,12,"Woodcraft","Serveware","",false,false,"69111011",5,""
334,"Shri Woodcraft Teakwood Corporate Gift Set",3449,43,"Woodcraft","Serveware","",false,false,"69111011",5,""
335,"Shri Woodcraft Teakwood Kullhad Cup S06 SW/TTC-39",2249,43,"Woodcraft","Serveware","",false,false,"69111011",5,""
336,"Shri Woodcraft Teakwood Groove Glass S06 SW/TG-33",2849,47,"Woodcraft","Serveware","",false,false,"69111011",5,""
337,"Shri Woodcraft Teakwood Plain Glass S06 SW/TP-27",2849,13,"Woodcraft","Serveware","",false,false,"69111011",5,""
338,"Shri Woodcraft Teakwood Radius Glass S06 SW/TR-30",2849,43,"Woodcraft","Serveware","",false,false,"69111011",5,""
339,"Shri Woodcraft Teakwood Soap Dish Curve SW/CSD-43",249,32,"Woodcraft","Serveware","",false,false,"69111011",5,""
340,"Shri Woodcraft Teakwood Wine Glass S02 SW/TWG-37",1549,29,"Woodcraft","Serveware","",false,false,"69111011",5,""
